agency_cd,site_no,datetime,tz_cd,,110247_00060,110247_00060_cd
USGS,3145483,2020/1/1,01:00,EST,145,A
USGS,3145483,2020/1/1,01:15,EST,144,A
USGS,3145483,2020/1/1,01:30,EST,143,A
USGS,3145483,2020/1/1,01:45,EST,143,A
USGS,3145483,2020/1/1,02:00,EST,141,A
USGS,3145483,2020/1/1,02:15,EST,140,A
USGS,3145483,2020/1/1,02:30,EST,140,A
USGS,3145483,2020/1/1,02:45,EST,140,A
USGS,3145483,2020/1/1,03:00,EST,138,A
USGS,3145483,2020/1/1,03:15,EST,137,A
USGS,3145483,2020/1/1,03:30,EST,137,A
USGS,3145483,2020/1/1,03:45,EST,137,A
USGS,3145483,2020/1/1,04:00,EST,135,A
USGS,3145483,2020/1/1,04:15,EST,135,A
USGS,3145483,2020/1/1,04:30,EST,134,A
USGS,3145483,2020/1/1,04:45,EST,134,A
USGS,3145483,2020/1/1,05:00,EST,132,A
USGS,3145483,2020/1/1,05:15,EST,132,A
USGS,3145483,2020/1/1,05:30,EST,131,A
USGS,3145483,2020/1/1,05:45,EST,131,A
USGS,3145483,2020/1/1,06:00,EST,131,A
USGS,3145483,2020/1/1,06:15,EST,129,A
USGS,3145483,2020/1/1,06:30,EST,128,A
USGS,3145483,2020/1/1,06:45,EST,129,A
USGS,3145483,2020/1/1,07:00,EST,128,A
USGS,3145483,2020/1/1,07:15,EST,126,A
USGS,3145483,2020/1/1,07:30,EST,125,A
USGS,3145483,2020/1/1,07:45,EST,125,A
USGS,3145483,2020/1/1,08:00,EST,125,A
USGS,3145483,2020/1/1,08:15,EST,124,A
USGS,3145483,2020/1/1,08:30,EST,124,A
USGS,3145483,2020/1/1,08:45,EST,122,A
USGS,3145483,2020/1/1,09:00,EST,122,A
USGS,3145483,2020/1/1,09:15,EST,121,A
USGS,3145483,2020/1/1,09:30,EST,121,A
USGS,3145483,2020/1/1,09:45,EST,121,A
USGS,3145483,2020/1/1,10:00,EST,121,A
USGS,3145483,2020/1/1,10:15,EST,118,A
USGS,3145483,2020/1/1,10:30,EST,118,A
USGS,3145483,2020/1/1,10:45,EST,118,A
USGS,3145483,2020/1/1,11:00,EST,118,A
USGS,3145483,2020/1/1,11:15,EST,116,A
USGS,3145483,2020/1/1,11:30,EST,116,A
USGS,3145483,2020/1/1,11:45,EST,116,A
USGS,3145483,2020/1/1,12:00,EST,115,A
USGS,3145483,2020/1/1,12:15,EST,115,A
USGS,3145483,2020/1/1,12:30,EST,114,A
USGS,3145483,2020/1/1,12:45,EST,114,A
USGS,3145483,2020/1/1,13:00,EST,112,A
USGS,3145483,2020/1/1,13:15,EST,112,A
USGS,3145483,2020/1/1,13:30,EST,111,A
USGS,3145483,2020/1/1,13:45,EST,111,A
USGS,3145483,2020/1/1,14:00,EST,111,A
USGS,3145483,2020/1/1,14:15,EST,109,A
USGS,3145483,2020/1/1,14:30,EST,109,A
USGS,3145483,2020/1/1,14:45,EST,109,A
USGS,3145483,2020/1/1,15:00,EST,108,A
USGS,3145483,2020/1/1,15:15,EST,108,A
USGS,3145483,2020/1/1,15:30,EST,107,A
USGS,3145483,2020/1/1,15:45,EST,108,A
USGS,3145483,2020/1/1,16:00,EST,107,A
USGS,3145483,2020/1/1,16:15,EST,107,A
USGS,3145483,2020/1/1,16:30,EST,105,A
USGS,3145483,2020/1/1,16:45,EST,105,A
USGS,3145483,2020/1/1,17:00,EST,105,A
USGS,3145483,2020/1/1,17:15,EST,104,A
USGS,3145483,2020/1/1,17:30,EST,104,A
USGS,3145483,2020/1/1,17:45,EST,104,A
USGS,3145483,2020/1/1,18:00,EST,104,A
USGS,3145483,2020/1/1,18:15,EST,104,A
USGS,3145483,2020/1/1,18:30,EST,104,A
USGS,3145483,2020/1/1,18:45,EST,103,A
USGS,3145483,2020/1/1,19:00,EST,103,A
USGS,3145483,2020/1/1,19:15,EST,103,A
USGS,3145483,2020/1/1,19:30,EST,101,A
USGS,3145483,2020/1/1,19:45,EST,101,A
USGS,3145483,2020/1/1,20:00,EST,101,A
USGS,3145483,2020/1/1,20:15,EST,101,A
USGS,3145483,2020/1/1,20:30,EST,99.4,A
USGS,3145483,2020/1/1,20:45,EST,99.4,A
USGS,3145483,2020/1/1,21:00,EST,99.4,A
USGS,3145483,2020/1/1,21:15,EST,99.4,A
USGS,3145483,2020/1/1,21:30,EST,99.4,A
USGS,3145483,2020/1/1,21:45,EST,97.9,A
USGS,3145483,2020/1/1,22:00,EST,97.9,A
USGS,3145483,2020/1/1,22:15,EST,97.9,A
USGS,3145483,2020/1/1,22:30,EST,97.9,A
USGS,3145483,2020/1/1,22:45,EST,96.3,A
USGS,3145483,2020/1/1,23:00,EST,96.3,A
USGS,3145483,2020/1/1,23:15,EST,96.3,A
USGS,3145483,2020/1/1,23:30,EST,96.3,A
USGS,3145483,2020/1/1,23:45,EST,96.3,A
USGS,3145483,2020/1/2,00:00,EST,96.3,A
USGS,3145483,2020/1/2,00:15,EST,94.8,A
USGS,3145483,2020/1/2,00:30,EST,94.8,A
USGS,3145483,2020/1/2,00:45,EST,94.8,A
USGS,3145483,2020/1/2,01:00,EST,94.8,A
USGS,3145483,2020/1/2,01:15,EST,94.8,A
USGS,3145483,2020/1/2,01:30,EST,93.3,A
USGS,3145483,2020/1/2,01:45,EST,93.3,A
USGS,3145483,2020/1/2,02:00,EST,93.3,A
USGS,3145483,2020/1/2,02:15,EST,93.3,A
USGS,3145483,2020/1/2,02:30,EST,93.3,A
USGS,3145483,2020/1/2,02:45,EST,91.7,A
USGS,3145483,2020/1/2,03:00,EST,91.7,A
