Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1/1/2020,44,32,38,7.1,27,0,0,0,0
1/2/2020,49,35,42,11.3,23,0,0.1,0,0
1/3/2020,52,46,49,18.4,16,0,1.01,0,0
1/4/2020,46,33,39.5,9.1,25,0,0.02,T,0
1/5/2020,41,31,36,5.7,29,0,0,T,0
1/6/2020,44,30,37,6.9,28,0,0,0,0
1/7/2020,46,26,36,6,29,0,0,0,0
1/8/2020,38,22,30,0.1,35,0,0,0,0
1/9/2020,54,22,38,8.3,27,0,0,0,0
1/10/2020,58,45,51.5,21.9,13,0,0.49,0,0
1/11/2020,71,53,62,32.5,3,0,0.57,0,0
1/12/2020,57,37,47,17.6,18,0,T,0,0
1/13/2020,47,35,41,11.7,24,0,0,0,0
1/14/2020,51,36,43.5,14.2,21,0,0,0,0
1/15/2020,51,30,40.5,11.3,24,0,T,0,0
1/16/2020,45,26,35.5,6.3,29,0,0,0,0
1/17/2020,31,22,26.5,-2.6,38,0,T,T,0
1/18/2020,49,30,39.5,10.4,25,0,1.13,T,0
1/19/2020,30,15,22.5,-6.5,42,0,T,T,T
1/20/2020,28,12,20,-9,45,0,T,T,T
1/21/2020,30,14,22,-7,43,0,0,0,0
1/22/2020,36,14,25,-4,40,0,0,0,0
1/23/2020,43,26,34.5,5.4,30,0,0,0,0
1/24/2020,48,39,43.5,14.4,21,0,0.77,0,0
1/25/2020,41,33,37,7.9,28,0,0.24,0.2,0
1/26/2020,35,32,33.5,4.3,31,0,T,T,0
1/27/2020,36,33,34.5,5.3,30,0,T,T,0
1/28/2020,36,32,34,4.7,31,0,T,0,0
1/29/2020,34,32,33,3.6,32,0,T,T,0
1/30/2020,35,30,32.5,3,32,0,0,0,0
1/31/2020,37,29,33,3.4,32,0,0.04,0.1,0
2/1/2020,38,32,35,5.3,30,0,0.03,T,0
2/2/2020,61,34,47.5,17.6,17,0,0,0,0
2/3/2020,63,33,48,18,17,0,T,0,0
2/4/2020,57,33,45,14.8,20,0,0.37,0,0
2/5/2020,38,31,34.5,4.2,30,0,0.23,0,0
2/6/2020,35,29,32,1.5,33,0,0.07,0.1,0
2/7/2020,32,25,28.5,-2.2,36,0,0.06,0.7,1
2/8/2020,33,24,28.5,-2.4,36,0,0.09,1.8,1
2/9/2020,41,28,34.5,3.5,30,0,0.05,0.1,2
2/10/2020,46,38,42,10.7,23,0,0.16,0,0
2/11/2020,39,33,36,4.5,29,0,0.02,T,0
2/12/2020,37,26,31.5,-0.2,33,0,0.57,1.3,0
2/13/2020,36,24,30,-1.9,35,0,0.08,0.4,T
2/14/2020,24,15,19.5,-12.7,45,0,T,T,T
2/15/2020,37,13,25,-7.4,40,0,0,0,0
2/16/2020,44,26,35,2.4,30,0,0,0,0
2/17/2020,48,22,35,2.1,30,0,T,0,0
2/18/2020,53,32,42.5,9.3,22,0,T,0,0
2/19/2020,41,25,33,-0.4,32,0,0,0,0
2/20/2020,31,18,24.5,-9.2,40,0,0,0,0
2/21/2020,35,13,24,-10,41,0,0,0,0
2/22/2020,47,20,33.5,-0.8,31,0,0,0,0
2/23/2020,51,23,37,2.4,28,0,0,0,0
2/24/2020,48,30,39,4.1,26,0,0.35,0,0
2/25/2020,45,39,42,6.9,23,0,0.22,0,0
2/26/2020,39,26,32.5,-2.9,32,0,0.24,0.4,0
2/27/2020,31,23,27,-8.8,38,0,0.02,0.9,T
2/28/2020,30,18,24,-12.1,41,0,T,T,1
2/29/2020,34,19,26.5,-9.7,38,0,0,0,0
3/1/2020,52,19,35.5,-0.9,29,0,0,0,0
3/2/2020,51,47,49,12.3,16,0,0.22,0,0
3/3/2020,57,41,49,12,16,0,1.31,0,0
3/4/2020,56,34,45,7.7,20,0,T,0,0
3/5/2020,54,25,39.5,1.8,25,0,T,0,0
3/6/2020,45,32,38.5,0.5,26,0,0.02,T,0
3/7/2020,47,30,38.5,0.2,26,0,T,T,0
3/8/2020,63,28,45.5,6.9,19,0,0,0,0
3/9/2020,65,48,56.5,17.5,8,0,T,0,0
3/10/2020,60,43,51.5,12.2,13,0,0.34,0,0
3/11/2020,51,42,46.5,6.8,18,0,0.02,0,0
3/12/2020,64,43,53.5,13.5,11,0,0.14,0,0
3/13/2020,57,40,48.5,8.1,16,0,0.14,0,0
3/14/2020,43,32,37.5,-3.2,27,0,0.27,0.6,0
3/15/2020,47,32,39.5,-1.6,25,0,T,T,T
3/16/2020,47,30,38.5,-2.9,26,0,0.03,0,0
3/17/2020,47,32,39.5,-2.3,25,0,T,0,0
3/18/2020,55,28,41.5,-0.7,23,0,1.14,0,0
3/19/2020,68,44,56,13.5,9,0,0.63,0,0
3/20/2020,71,38,54.5,11.6,10,0,2.89,0,0
3/21/2020,38,29,33.5,-9.8,31,0,0,0,0
3/22/2020,46,26,36,-7.6,29,0,0.04,0,0
3/23/2020,48,41,44.5,0.5,20,0,0.13,0,0
3/24/2020,49,40,44.5,0.1,20,0,T,0,0
3/25/2020,63,37,50,5.2,15,0,0.01,0,0
3/26/2020,68,44,56,10.8,9,0,0.09,0,0
3/27/2020,58,50,54,8.4,11,0,0.15,0,0
3/28/2020,76,54,65,19,0,0,0.42,0,0
3/29/2020,70,55,62.5,16.1,2,0,0.16,0,0
3/30/2020,55,43,49,2.3,16,0,0,0,0
3/31/2020,46,40,43,-4.1,22,0,0.01,0,0
4/1/2020,51,40,45.5,-2,19,0,T,0,0
4/2/2020,59,35,47,-0.9,18,0,0,0,0
4/3/2020,66,34,50,1.7,15,0,0,0,0
4/4/2020,70,37,53.5,4.8,11,0,0,0,0
4/5/2020,55,39,47,-2.1,18,0,0.11,0,0
4/6/2020,66,33,49.5,0,15,0,T,0,0
4/7/2020,77,51,64,14.1,1,0,0.66,0,0
4/8/2020,74,53,63.5,13.2,1,0,0.6,0,0
4/9/2020,57,37,47,-3.7,18,0,0.01,0,0
4/10/2020,45,33,39,-12.1,26,0,0,0,0
4/11/2020,57,29,43,-8.5,22,0,0,0,0
4/12/2020,63,44,53.5,1.6,11,0,0.51,0,0
4/13/2020,61,41,51,-1.3,14,0,0.35,0,0
4/14/2020,46,33,39.5,-13.2,25,0,0,0,0
4/15/2020,52,27,39.5,-13.6,25,0,0.02,T,0
4/16/2020,50,26,38,-15.5,27,0,0,0,0
4/17/2020,49,36,42.5,-11.3,22,0,0.51,T,0
4/18/2020,52,35,43.5,-10.7,21,0,0,0,0
4/19/2020,59,38,48.5,-6.1,16,0,0,0,0
4/20/2020,61,37,49,-5.9,16,0,T,0,0
4/21/2020,55,35,45,-10.3,20,0,0,0,0
4/22/2020,60,29,44.5,-11.2,20,0,0,0,0
4/23/2020,56,43,49.5,-6.5,15,0,0.1,0,0
4/24/2020,66,47,56.5,0.1,8,0,T,0,0
4/25/2020,69,47,58,1.3,7,0,0.17,0,0
4/26/2020,53,42,47.5,-9.6,17,0,0.48,0,0
4/27/2020,62,35,48.5,-8.9,16,0,T,0,0
4/28/2020,73,49,61,3.3,4,0,0.15,0,0
4/29/2020,72,52,62,3.9,3,0,0.48,0,0
4/30/2020,52,45,48.5,-9.9,16,0,0.07,0,0
5/1/2020,61,45,53,-5.7,12,0,0.07,0,0
5/2/2020,79,48,63.5,4.5,1,0,0,0,0
5/3/2020,73,54,63.5,4.2,1,0,0.14,0,0
5/4/2020,64,45,54.5,-5.2,10,0,0,0,0
5/5/2020,54,40,47,-13,18,0,0.04,0,0
5/6/2020,58,38,48,-12.3,17,0,0.04,0,0
5/7/2020,67,34,50.5,-10.1,14,0,0,0,0
5/8/2020,56,34,45,-15.9,20,0,0.19,0,0
5/9/2020,51,30,40.5,-20.7,24,0,0,0,0
5/10/2020,63,36,49.5,-12,15,0,0.17,0,0
5/11/2020,45,37,41,-20.8,24,0,0.03,0,0
5/12/2020,59,31,45,-17.1,20,0,0,0,0
5/13/2020,68,34,51,-11.4,14,0,0,0,0
5/14/2020,75,53,64,1.3,1,0,0.4,0,0
5/15/2020,76,56,66,3,0,1,0.15,0,0
5/16/2020,78,54,66,2.7,0,1,0,0,0
5/17/2020,82,62,72,8.5,0,7,0.01,0,0
5/18/2020,74,61,67.5,3.7,0,3,2.33,0,0
5/19/2020,63,51,57,-7.1,8,0,2.02,0,0
5/20/2020,56,47,51.5,-12.9,13,0,0.13,0,0
5/21/2020,62,52,57,-7.7,8,0,0.39,0,0
5/22/2020,74,58,66,1,0,1,T,0,0
5/23/2020,81,53,67,1.7,0,2,0,0,0
5/24/2020,86,63,74.5,8.9,0,10,0,0,0
5/25/2020,87,66,76.5,10.6,0,12,0,0,0
5/26/2020,89,65,77,10.8,0,12,0,0,0
5/27/2020,85,70,77.5,11,0,13,0,0,0
5/28/2020,83,66,74.5,7.7,0,10,0.17,0,0
5/29/2020,81,57,69,1.9,0,4,0.01,0,0
5/30/2020,74,57,65.5,-1.9,0,1,0,0,0
5/31/2020,68,48,58,-9.7,7,0,0,0,0
6/1/2020,73,42,57.5,-10.5,7,0,T,0,0
6/2/2020,89,62,75.5,7.1,0,11,T,0,0
6/3/2020,90,70,80,11.3,0,15,T,0,0
6/4/2020,84,67,75.5,6.5,0,11,0.75,0,0
